id;start_date;end_date;discount_persontage
1;2023-04-27T10:22:28;2023-04-28T04:04:25;12759
2;2023-04-28T04:36:48;2023-04-28T00:06:34;75916
3;2023-04-27T21:56:26;2023-04-28T05:38:25;48444
4;2023-04-27T21:58:27;2023-04-27T23:31:08;8933
5;2023-04-27T16:55:25;2023-04-28T03:48:06;69462
6;2023-04-27T12:41:24;2023-04-27T12:48:43;62284
7;2023-04-27T22:24:51;2023-04-27T15:50:14;4054
8;2023-04-27T20:18:04;2023-04-28T06:21:16;9054
9;2023-04-28T01:21:10;2023-04-27T21:11:30;12388
10;2023-04-27T11:59:44;2023-04-27T07:58:29;78877
