id;product_id;product_name;product_price;user_gender
1;23324;Account;53676;Assistant
2;57374;monetize Consultant wireless;16316;reboot
3;92572;magenta THX;6602;deposit Centers Metal
4;83023;Metical Incredible;54662;Internal intermediate
5;30312;green Malagasy;32770;Drive Australian
6;16473;Wooden;70336;aggregate Security Data
7;35518;Dynamic Sports;86396;Personal Steel
8;15779;intangible Prairie;14557;CSS Bike
9;14900;Central Intelligent;88292;Checking Account Renminbi
10;33734;multi-byte Underpass project;82676;Fantastic
